Ingredient,Store,Price,OZ
2% Milk,Aldi,2.79,64
Avocado,Aldi,0.65,7
Baby Spinach,Aldi,2.85,5
Baking Powder,Aldi,2.05,8.1
Baking Soda,Aldi,0.99,16
Beef Broth,Aldi,1.55,32
Bell Peppers,Aldi,1.99,14
Black Beans,Aldi,0.95,15
Blueberries,Aldi,3.09,16
Butter,Aldi,3.29,16
Buttermilk,Aldi,N/A,N/A
Caesar Salad Dressing,Aldi,2.15,16
Cherry Tomatoes,Aldi,2.19,10
Chia Seeds,Aldi,4.09,12
Chicken Breast,Aldi,5.79,12
Croutons,Aldi,1.49,5
Crushed Tomatoes,Aldi,1.65,28
Cucumber,Aldi,0.79,12
Diced Tomatoes,Aldi,0.99,15
Dijon Mustard,Aldi,1.65,12.24
Eggs,Aldi,2.19,12
Feta Block,Aldi,3.85,8
Fritos,Aldi,1.89,9.25
Greek Yogurt,Aldi,3.29,32
Ground Beef,Aldi,6.95,16
Honey,Aldi,3.69,12
Italian Bread Crumbs,Aldi,1.35,28
Kidney Beans,Aldi,0.95,15
Large Tortilla,Aldi,2.35,8
Mayonaisse,Aldi,3.29,30.6
Minced Garlic,Aldi,2.85,8
Old Fashioned Oats,Aldi,4.55,42
Olive Oil,Aldi,6.25,16.9
Oregano,Aldi,1.09,0.85
Paprika,Aldi,1.09,2.21
Pasta,Aldi,2.09,16
Red Onion,Aldi,2.49,17
Red Pepper Flakes,Aldi,1.09,1.7
Regular Tortilla,Aldi,2.35,8
Romaine Lettuce,Aldi,3.29,22
Salt,Aldi,0.85,26
Salt/Pepper,Aldi,4.9,5
Shredded Cheddar Cheese,Aldi,2.65,11
Shredded Mexican Style Cheese,Aldi,3.09,24
Shredded Parmesan Cheese,Aldi,3.09,5
Sliced Provalone,Aldi,1.65,8
Sour Cream,Aldi,1.99,16
Sourdough Bread,Aldi,3.65,24
Sprouts,Aldi,N/A,N/A
Sweet Corn,Aldi,0.85,15
Taco Seasoning,Aldi,0.55,1
Tomato,Aldi,0.22,5
Vegetable Oil,Aldi,3.85,48
White Onion,Aldi,2.19,35
White Rice,Aldi,2.95,72
White Sugar,Aldi,3.19,64
Whole Wheat Flour,Aldi,2.19,80
Yellow Onion,Aldi,2.19,5
2% Milk,Giant,1.62,32
Avocado,Giant,1.5,6
Baby Spinach,Giant,3.49,6
Baking Powder,Giant,2.59,7.82
Baking Soda,Giant,0.99,15.3
Beef Broth,Giant,1.69,32
Bell Peppers,Giant,4.99,24
Black Beans,Giant,0.89,14
Blueberries,Giant,4.99,16
Butter,Giant,3.29,16
Buttermilk,Giant,1.79,32
Caesar Salad Dressing,Giant,2.19,16
Cherry Tomatoes,Giant,4.99,10
Chia Seeds,Giant,5.39,22.5
Chicken Breast,Giant,4.99,32
Croutons,Giant,1.59,20
Crushed Tomatoes,Giant,1.69,28
Cucumber,Giant,0.69,6
Diced Tomatoes,Giant,1,14
Dijon Mustard,Giant,1.59,11.56
Eggs,Giant,1.99,21
Feta Block,Giant,3.99,8
Fritos,Giant,5.49,28
Greek Yogurt,Giant,3.79,3.75
Ground Beef,Giant,6.89,16
Honey,Giant,3.69,8
Italian Bread Crumbs,Giant,1.99,32
Kidney Beans,Giant,0.89,15.5
Large Tortilla,Giant,2.99,16
Mayonaisse,Giant,4.29,29.5
Minced Garlic,Giant,2.49,8
Old Fashioned Oats,Giant,3.99,15
Olive Oil,Giant,6.99,16.5
Oregano,Giant,3.19,3
Paprika,Giant,2.59,3
Pasta,Giant,1,16
Red Onion,Giant,1.6,6
Red Pepper Flakes,Giant,2.89,3
Regular Tortilla,Giant,2.99,16
Romaine Lettuce,Giant,3.49,7
Salt,Giant,1.99,3
Salt/Pepper,Giant,1.99,3
Shredded Cheddar Cheese,Giant,1.99,8
Shredded Mexican Style Cheese,Giant,1.99,8
Shredded Parmesan Cheese,Giant,1.99,1.5
Sliced Provalone,Giant,1.99,10
Sour Cream,Giant,1.29,7
Sourdough Bread,Giant,4.99,7
Sprouts,Giant,3.49,28
Sweet Corn,Giant,0.75,15.2
Taco Seasoning,Giant,0.79,1
Tomato,Giant,1.4,6
Vegetable Oil,Giant,3.39,32
White Onion,Giant,2.13,6
White Rice,Giant,0.99,20
White Sugar,Giant,3.49,75.5
Whole Wheat Flour,Giant,3.69,152
Yellow Onion,Giant,0.54,6
2% Milk,McLanahans,4.79,128
Avocado,McLanahans,1.99,6
Baby Spinach,McLanahans,2.99,5
Baking Powder,McLanahans,5.45,14
Baking Soda,McLanahans,1.35,16
Beef Broth,McLanahans,2.49,32
Bell Peppers,McLanahans,5.89,32
Black Beans,McLanahans,1.65,15
Blueberries,McLanahans,4.5,16
Butter,McLanahans,5.75,15
Buttermilk,McLanahans,N/A,N/A
Caesar Salad Dressing,McLanahans,5.49,16
Cherry Tomatoes,McLanahans,2.89,8
Chia Seeds,McLanahans,4.5,8
Chicken Breast,McLanahans,12.39,56
Croutons,McLanahans,1.99,5
Crushed Tomatoes,McLanahans,1.95,15
Cucumber,McLanahans,0.85,6
Diced Tomatoes,McLanahans,1.95,15
Dijon Mustard,McLanahans,2.59,7.5
Eggs,McLanahans,3.65,21
Feta Block,McLanahans,N/A,N/A
Fritos,McLanahans,3.99,10
Greek Yogurt,McLanahans,8.99,32
Ground Beef,McLanahans,10.59,16
Honey,McLanahans,3.69,12
Italian Bread Crumbs,McLanahans,N/A,N/A
Kidney Beans,McLanahans,1.55,15
Large Tortilla,McLanahans,3.49,16
Mayonaisse,McLanahans,4.49,8
Minced Garlic,McLanahans,2.89,6
Old Fashioned Oats,McLanahans,N/A,N/A
Olive Oil,McLanahans,8.85,17
Oregano,McLanahans,1.69,1.25
Paprika,McLanahans,1.69,2.5
Pasta,McLanahans,2.55,16
Red Onion,McLanahans,1.99,6
Red Pepper Flakes,McLanahans,4.99,1.75
Regular Tortilla,McLanahans,3.49,16
Romaine Lettuce,McLanahans,2.69,6
Salt,McLanahans,5.59,3.4
Salt/Pepper,McLanahans,5.89,3.4
Shredded Cheddar Cheese,McLanahans,5.39,8
Shredded Mexican Style Cheese,McLanahans,5.49,8
Shredded Parmesan Cheese,McLanahans,5.49,8
Sliced Provalone,McLanahans,5.99,16
Sour Cream,McLanahans,2.65,16
Sourdough Bread,McLanahans,3.28,16
Sprouts,McLanahans,N/A,N/A
Sweet Corn,McLanahans,1.79,15
Taco Seasoning,McLanahans,1.39,1
Tomato,McLanahans,2.49,16
Vegetable Oil,McLanahans,5.99,32
White Onion,McLanahans,0.99,6
White Rice,McLanahans,4.59,28
White Sugar,McLanahans,2.79,16
Whole Wheat Flour,McLanahans,18.39,80
Yellow Onion,McLanahans,0.99,6
2% Milk,Sam's Club,3.94,59
Avocado,Sam's Club,3.72,5
Baby Spinach,Sam's Club,4.76,16
Baking Powder,Sam's Club,7.78,44
Baking Soda,Sam's Club,8.88,216
Beef Broth,Sam's Club,5.98,96
Bell Peppers,Sam's Club,6.67,48
Black Beans,Sam's Club,5.98,84
Blueberries,Sam's Club,6.97,32
Butter,Sam's Club,8.44,128
Buttermilk,Sam's Club,N/A,N/A
Caesar Salad Dressing,Sam's Club,N/A,N/A
Cherry Tomatoes,Sam's Club,6.65,24
Chia Seeds,Sam's Club,N/A,N/A
Chicken Breast,Sam's Club,16.56,128
Croutons,Sam's Club,6.98,32
Crushed Tomatoes,Sam's Club,11.26,224
Cucumber,Sam's Club,4.07,18
Diced Tomatoes,Sam's Club,9.88,112
Dijon Mustard,Sam's Club,5.48,30.6
Eggs,Sam's Club,4.42,42
Feta Block,Sam's Club,9.76,32
Fritos,Sam's Club,4.48,18.125
Greek Yogurt,Sam's Club,4.97,48
Ground Beef,Sam's Club,19.07,48
Honey,Sam's Club,7.98,48
Italian Bread Crumbs,Sam's Club,5.94,200
Kidney Beans,Sam's Club,5.98,84
Large Tortilla,Sam's Club,3.67,48
Mayonaisse,Sam's Club,7.48,30.6
Minced Garlic,Sam's Club,5.68,48
Old Fashioned Oats,Sam's Club,7.98,160
Olive Oil,Sam's Club,12.98,67.6
Oregano,Sam's Club,5.98,5.5
Paprika,Sam's Club,8.44,18
Pasta,Sam's Club,8.52,96
Red Onion,Sam's Club,5.72,96
Red Pepper Flakes,Sam's Club,5.98,13.5
Regular Tortilla,Sam's Club,3.67,48
Romaine Lettuce,Sam's Club,2.26,112
Salt,Sam's Club,11.16,96
Salt/Pepper,Sam's Club,11.16,96
Shredded Cheddar Cheese,Sam's Club,5.47,32
Shredded Mexican Style Cheese,Sam's Club,6.16,32
Shredded Parmesan Cheese,Sam's Club,10.74,24
Sliced Provalone,Sam's Club,7.63,42
Sour Cream,Sam's Club,4.97,28
Sourdough Bread,Sam's Club,3.28,32
Sprouts,Sam's Club,5.94,32
Sweet Corn,Sam's Club,8.42,112
Taco Seasoning,Sam's Club,6.98,10
Tomato,Sam's Club,4.82,48
