Ingredient,Store,Price Per Recipe,Total Price From Ingredients,
Baby Spinach,Aldi,2.85,2.85,
Cherry Tomatoes,Aldi,2.19,2.19,
Feta Block,Aldi,3.85,3.85,
Olive Oil,Aldi,0.37,6.25,
Salt/Pepper,Aldi,0.15,$4.90 ,
Minced Garlic,Aldi,0.36,$2.85 ,
Pasta,Aldi,1.05,$2.09 ,
Old Fashioned Oats,Aldi,0.22,4.55,
Greek Yogurt,Aldi,0.21,3.29,
2% Milk,Aldi,0.12,2.79,
Chia Seeds,Aldi,0.11,4.09,
Blueberries,Aldi,0.26,3.09,
Honey,Aldi,0.1,3.69,
Large Tortilla,Aldi,2.35,2.35,
Butter,Aldi,0.1,3.29,
Chicken Breast,Aldi,5.79,5.79,
Black Beans,Aldi,0.95,0.95,
Shredded Cheddar Cheese,Aldi,2.65,2.65,
Ground Beef,Aldi,6.95,6.95,
Yellow Onion,Aldi,0.44,2.19,
Diced Tomatoes,Aldi,0.99,0.99,
Taco Seasoning,Aldi,0.55,0.55,
Kidney Beans,Aldi,0.95,0.95,
Sweet Corn,Aldi,0.85,0.85,
Fritos,Aldi,0.15,1.89,
Sour Cream,Aldi,1,1.99,
Whole Wheat Flour,Aldi,0.23,2.19,
White Sugar,Aldi,0.04,3.19,
Baking Powder,Aldi,0.09,2.05,
Baking Soda,Aldi,0.01,0.99,
Salt,Aldi,0.01,0.85,
Buttermilk,Aldi,N/A,N/A,
Eggs,Aldi,0.37,2.19,
Vegetable Oil,Aldi,0.16,3.85,
Romaine Lettuce,Aldi,1.1,3.29,
Chicken Breast,Aldi,2.9,5.79,
Shredded Parmesan Cheese,Aldi,1.55,3.09,
Croutons,Aldi,0.15,1.49,
Caesar Salad Dressing,Aldi,0.13,2.15,
Bell Peppers,Aldi,1.99,1.99,
White Onion,Aldi,0.44,2.19,
Crushed Tomatoes,Aldi,0.88,1.65,
Beef Broth,Aldi,0.78,1.55,
White Rice,Aldi,0.33,2.95,
Paprika,Aldi,0.08,1.09,
Oregano,Aldi,0.22,1.09,
Red Pepper Flakes,Aldi,0.11,1.09,
Italian Bread Crumbs,Aldi,0.04,1.35,
Avocado,Aldi,1.3,0.65,
Shredded Mexican Style Cheese,Aldi,1.03,3.09,
Regular Tortilla,Aldi,1.18,2.35,
Sourdough Bread,Aldi,0.61,3.65,
Sliced Provalone,Aldi,0.15,1.65,
Mayonaisse,Aldi,0.02,3.29,
Dijon Mustard,Aldi,0.02,1.65,
Tomato,Aldi,0.07,0.22,
Cucumber,Aldi,0.4,0.79,
Red Onion,Aldi,0.2,2.49,
Sprouts,Aldi,N/A,N/A,
ingred,,,,
2% Milk,Giant,0.14,$1.62 ,
Avocado,Giant,3,$1.50 ,
Baby Spinach,Giant,3.49,$3.49 ,
Baking Powder,Giant,0.11,$2.59 ,
Baking Soda,Giant,0.01,$0.99 ,
Beef Broth,Giant,0.85,$1.69 ,
Bell Peppers,Giant,4.99,$4.99 ,
Black Beans,Giant,0.89,$0.89 ,
Blueberries,Giant,0.62,$4.99 ,
Butter,Giant,0.1,$3.29 ,
Buttermilk,Giant,1.01,$1.79 ,
Caesar Salad Dressing,Giant,1.37,$2.19 ,
Cherry Tomatoes,Giant,4.99,$4.99 ,
Chia Seeds,Giant,0.24,$5.39 ,
Chicken Breast,Giant,2.5,$4.99 ,
Croutons,Giant,0.08,$1.59 ,
Crushed Tomatoes,Giant,0.91,$1.69 ,
Cucumber,Giant,0.35,$0.69 ,
Diced Tomatoes,Giant,1,$1.00 ,
Dijon Mustard,Giant,0.02,$1.59 ,
Eggs,Giant,0.33,$1.99 ,
Feta Block,Giant,3.99,$3.99 ,
Fritos,Giant,2.75,$5.49 ,
Greek Yogurt,Giant,0.25,$3.79 ,
Ground Beef,Giant,6.89,$6.89 ,
Honey,Giant,0.15,$3.69 ,
Italian Bread Crumbs,Giant,0.5,$1.99 ,
Kidney Beans,Giant,0.89,$0.89 ,
Large Tortilla,Giant,2.99,$2.99 ,
Mayonaisse,Giant,0.07,$4.29 ,
Minced Garlic,Giant,0.62,$2.49 ,
Old Fashioned Oats,Giant,0.07,$3.99 ,
Olive Oil,Giant,0.42,$6.99 ,
Oregano,Giant,0.04,$3.19 ,
Paprika,Giant,0.04,$2.59 ,
Pasta,Giant,0.5,$1.00 ,
Red Onion,Giant,0.4,$1.60 ,
Red Pepper Flakes,Giant,0.04,$2.89 ,
Regular Tortilla,Giant,1.5,$2.99 ,
Romaine Lettuce,Giant,1.5,$3.49 ,
Salt,Giant,0.03,$1.99 ,
Salt/Pepper,Giant,0.11,$1.99 ,
Shredded Cheddar Cheese,Giant,0.25,$1.99 ,
Shredded Mexican Style Cheese,Giant,0.5,$1.99 ,
Shredded Parmesan Cheese,Giant,0.33,$1.99 ,
Sliced Provalone,Giant,0.4,$1.99 ,
Sour Cream,Giant,1.29,$1.29 ,
Sourdough Bread,Giant,1.43,$4.99 ,
Sprouts,Giant,0.25,$3.49 ,
Sweet Corn,Giant,0.75,$0.75 ,
Taco Seasoning,Giant,0.79,$0.79 ,
Tomato,Giant,0.47,$1.40 ,
Vegetable Oil,Giant,0.21,$3.39 ,
White Onion,Giant,2.13,$2.13 ,
White Rice,Giant,0.4,$0.99 ,
White Sugar,Giant,0.05,$3.49 ,
Whole Wheat Flour,Giant,0.39,$3.69 ,
Yellow Onion,Giant,0.54,$0.54 ,
2% Milk,McLanahans,0.1,$4.79 ,
Avocado,McLanahans,3.98,$1.99 ,
Baby Spinach,McLanahans,2.99,$2.99 ,
Baking Powder,McLanahans,0.14,$5.45 ,
Baking Soda,McLanahans,0.01,$1.35 ,
Beef Broth,McLanahans,1.24,$2.49 ,
Bell Peppers,McLanahans,4.42,$5.89 ,
Black Beans,McLanahans,1.65,$1.65 ,
Blueberries,McLanahans,0.42,$4.50 ,
